name,player_y,dt,minutes,team
Ben Simmons,,2017-10-21,33.38333333333333,Team.PHILADELPHIA_76ERS
Lucas Nogueira,,2017-10-21,16.383333333333333,Team.TORONTO_RAPTORS
Delon Wright,,2017-10-21,31.233333333333334,Team.TORONTO_RAPTORS
Dario ?ari?,,2017-10-21,23.8,Team.PHILADELPHIA_76ERS
Jakob Pöltl,,2017-10-21,16.616666666666667,Team.TORONTO_RAPTORS
Jonas Valan?i?nas,,2017-10-21,15.0,Team.TORONTO_RAPTORS
DeMar DeRozan,,2017-10-21,26.7,Team.TORONTO_RAPTORS
Timothé Luwawu-Cabarrot,,2017-10-21,10.683333333333334,Team.PHILADELPHIA_76ERS
Jerryd Bayless,,2017-10-21,26.533333333333335,Team.PHILADELPHIA_76ERS
Robert Covington,,2017-10-21,14.516666666666667,Team.PHILADELPHIA_76ERS
T.J. McConnell,,2017-10-21,18.25,Team.PHILADELPHIA_76ERS
C.J. Miles,,2017-10-21,16.883333333333333,Team.TORONTO_RAPTORS
Pascal Siakam,,2017-10-21,8.4,Team.TORONTO_RAPTORS
Fred VanVleet,,2017-10-21,17.433333333333334,Team.TORONTO_RAPTORS
Serge Ibaka,,2017-10-21,24.55,Team.TORONTO_RAPTORS
J.J. Redick,,2017-10-21,26.383333333333333,Team.PHILADELPHIA_76ERS
Amir Johnson,,2017-10-21,14.083333333333334,Team.PHILADELPHIA_76ERS
Kyle Lowry,,2017-10-21,28.1,Team.TORONTO_RAPTORS
Jahlil Okafor,,2017-10-21,22.15,Team.PHILADELPHIA_76ERS
Norman Powell,,2017-10-21,17.333333333333332,Team.TORONTO_RAPTORS
Bruno Caboclo,,2017-10-21,6.116666666666666,Team.TORONTO_RAPTORS
Markelle Fultz,,2017-10-21,24.45,Team.PHILADELPHIA_76ERS
OG Anunoby,,2017-10-21,15.25,Team.TORONTO_RAPTORS
Nik Stauskas,,2017-10-21,8.4,Team.PHILADELPHIA_76ERS
Justin Anderson,,2017-10-21,17.366666666666667,Team.PHILADELPHIA_76ERS
Jameer Nelson,,2017-10-22,24.116666666666667,Team.NEW_ORLEANS_PELICANS
Isaiah Canaan,,2017-10-25,3.95,Team.HOUSTON_ROCKETS
Josh Smith,,2017-10-28,6.933333333333334,Team.NEW_ORLEANS_PELICANS
Jason Terry,,2017-11-03,5.483333333333333,Team.MILWAUKEE_BUCKS
Jarell Martin,,2017-11-04,11.833333333333334,Team.MEMPHIS_GRIZZLIES
Mike Conley,,2017-11-04,33.1,Team.MEMPHIS_GRIZZLIES
DeAndre Jordan,,2017-11-04,34.53333333333333,Team.LOS_ANGELES_CLIPPERS
Mario Chalmers,,2017-11-04,27.016666666666666,Team.MEMPHIS_GRIZZLIES
Willie Reed,,2017-11-04,5.966666666666667,Team.LOS_ANGELES_CLIPPERS
Marc Gasol,,2017-11-04,32.15,Team.MEMPHIS_GRIZZLIES
Montrezl Harrell,,2017-11-04,3.816666666666667,Team.LOS_ANGELES_CLIPPERS
Blake Griffin,,2017-11-04,36.63333333333333,Team.LOS_ANGELES_CLIPPERS
James Ennis,,2017-11-04,30.133333333333333,Team.MEMPHIS_GRIZZLIES
Danilo Gallinari,,2017-11-04,35.53333333333333,Team.LOS_ANGELES_CLIPPERS
Lou Williams,,2017-11-04,23.383333333333333,Team.LOS_ANGELES_CLIPPERS
Brandan Wright,,2017-11-04,25.0,Team.MEMPHIS_GRIZZLIES
Austin Rivers,,2017-11-04,38.28333333333333,Team.LOS_ANGELES_CLIPPERS
Sindarius Thornwell,,2017-11-04,9.733333333333333,Team.LOS_ANGELES_CLIPPERS
Chandler Parsons,,2017-11-04,20.316666666666666,Team.MEMPHIS_GRIZZLIES
Patrick Beverley,,2017-11-04,38.05,Team.LOS_ANGELES_CLIPPERS
Dillon Brooks,,2017-11-04,29.366666666666667,Team.MEMPHIS_GRIZZLIES
Tyreke Evans,,2017-11-04,31.083333333333332,Team.MEMPHIS_GRIZZLIES
Wesley Johnson,,2017-11-04,14.066666666666666,Team.LOS_ANGELES_CLIPPERS
Tyler Cavanaugh,,2017-11-05,3.0,Team.ATLANTA_HAWKS
Antonius Cleveland,,2017-11-17,6.933333333333334,Team.DALLAS_MAVERICKS
Antonius Cleveland,,2017-11-18,3.1666666666666665,Team.DALLAS_MAVERICKS
Miles Plumlee,,2017-11-30,3.5,Team.ATLANTA_HAWKS
T.J. McConnell,,2017-12-23,20.166666666666668,Team.PHILADELPHIA_76ERS
Malcolm Miller,,2017-12-23,2.7666666666666666,Team.TORONTO_RAPTORS
Jacob Pullen,,2017-12-23,3.683333333333333,Team.PHILADELPHIA_76ERS
DeMar DeRozan,,2017-12-23,34.53333333333333,Team.TORONTO_RAPTORS
Ben Simmons,,2017-12-23,32.61666666666667,Team.PHILADELPHIA_76ERS
Joel Embiid,,2017-12-23,22.95,Team.PHILADELPHIA_76ERS
Serge Ibaka,,2017-12-23,24.566666666666666,Team.TORONTO_RAPTORS
Fred VanVleet,,2017-12-23,18.95,Team.TORONTO_RAPTORS
Timothé Luwawu-Cabarrot,,2017-12-23,27.116666666666667,Team.PHILADELPHIA_76ERS
Kyle Lowry,,2017-12-23,29.6,Team.TORONTO_RAPTORS
Trevor Booker,,2017-12-23,14.633333333333333,Team.PHILADELPHIA_76ERS
Matt Williams,,2017-12-23,3.4833333333333334,Team.MIAMI_HEAT
James Michael McAdoo,,2017-12-23,3.683333333333333,Team.PHILADELPHIA_76ERS
OG Anunoby,,2017-12-23,20.85,Team.TORONTO_RAPTORS
Jerryd Bayless,,2017-12-23,23.666666666666668,Team.PHILADELPHIA_76ERS
Jakob Pöltl,,2017-12-23,24.283333333333335,Team.TORONTO_RAPTORS
Robert Covington,,2017-12-23,36.75,Team.PHILADELPHIA_76ERS
Norman Powell,,2017-12-23,12.916666666666666,Team.TORONTO_RAPTORS
Richaun Holmes,,2017-12-23,3.683333333333333,Team.PHILADELPHIA_76ERS
Pascal Siakam,,2017-12-23,22.766666666666666,Team.TORONTO_RAPTORS
Delon Wright,,2017-12-23,25.05,Team.TORONTO_RAPTORS
Jonas Valan?i?nas,,2017-12-23,23.716666666666665,Team.TORONTO_RAPTORS
Dario ?ari?,,2017-12-23,33.1,Team.PHILADELPHIA_76ERS
Amir Johnson,,2017-12-23,17.95,Team.PHILADELPHIA_76ERS
Matt Williams,,2017-12-26,1.5166666666666666,Team.MIAMI_HEAT
Gerald Green,,2017-12-28,11.033333333333333,Team.HOUSTON_ROCKETS
Gerald Green,,2017-12-29,27.15,Team.HOUSTON_ROCKETS
Matt Williams,,2017-12-29,6.4,Team.MIAMI_HEAT
Tyrone Wallace,,2018-01-06,31.466666666666665,Team.LOS_ANGELES_CLIPPERS
DeAndre Liggins,,2018-01-10,11.05,Team.NEW_ORLEANS_PELICANS
Kyle Kuzma,,2018-01-15,28.65,Team.LOS_ANGELES_LAKERS
Nicolas Batum,,2018-01-15,33.583333333333336,Team.CHARLOTTE_HORNETS
Trey Burke,,2018-01-15,8.25,Team.NEW_YORK_KNICKS
Johnny O'Bryant,,2018-01-15,11.433333333333334,Team.CHARLOTTE_HORNETS
Luke Kennard,,2018-01-15,25.216666666666665,Team.DETROIT_PISTONS
Julius Randle,,2018-01-15,21.65,Team.LOS_ANGELES_LAKERS
Tobias Harris,,2018-01-15,25.166666666666668,Team.DETROIT_PISTONS
Kentavious Caldwell-Pope,,2018-01-15,33.03333333333333,Team.LOS_ANGELES_LAKERS
Michael Carter-Williams,,2018-01-15,12.766666666666667,Team.CHARLOTTE_HORNETS
Jeremy Lamb,,2018-01-15,18.6,Team.CHARLOTTE_HORNETS
Anthony Tolliver,,2018-01-15,25.466666666666665,Team.DETROIT_PISTONS
Georgios Papagiannis,,2018-01-15,1.3833333333333333,Team.SACRAMENTO_KINGS
Avery Bradley,,2018-01-15,35.96666666666667,Team.DETROIT_PISTONS
JaMychal Green,,2018-01-15,27.433333333333334,Team.MEMPHIS_GRIZZLIES
Dillon Brooks,,2018-01-15,26.733333333333334,Team.MEMPHIS_GRIZZLIES
Treveon Graham,,2018-01-15,11.5,Team.CHARLOTTE_HORNETS
Marvin Williams,,2018-01-15,28.716666666666665,Team.CHARLOTTE_HORNETS
Eric Moreland,,2018-01-15,11.666666666666666,Team.DETROIT_PISTONS
Josh Hart,,2018-01-15,31.75,Team.LOS_ANGELES_LAKERS
Ish Smith,,2018-01-15,34.71666666666667,Team.DETROIT_PISTONS
Dwight Buycks,,2018-01-15,13.283333333333333,Team.DETROIT_PISTONS
Tyler Ennis,,2018-01-15,17.483333333333334,Team.LOS_ANGELES_LAKERS
Corey Brewer,,2018-01-15,19.566666666666666,Team.LOS_ANGELES_LAKERS
Alex Caruso,,2018-01-15,13.416666666666666,Team.LOS_ANGELES_LAKERS
Jordan Clarkson,,2018-01-15,16.75,Team.LOS_ANGELES_LAKERS
R.J. Hunter,,2018-01-15,1.05,Team.HOUSTON_ROCKETS
Michael Kidd-Gilchrist,,2018-01-15,32.31666666666667,Team.CHARLOTTE_HORNETS
Kemba Walker,,2018-01-15,35.233333333333334,Team.CHARLOTTE_HORNETS
Reggie Bullock,,2018-01-15,34.81666666666667,Team.DETROIT_PISTONS
Frank Kaminsky,,2018-01-15,19.85,Team.CHARLOTTE_HORNETS
Mario Chalmers,,2018-01-15,19.9,Team.MEMPHIS_GRIZZLIES
Tyreke Evans,,2018-01-15,35.61666666666667,Team.MEMPHIS_GRIZZLIES
Brook Lopez,,2018-01-15,19.35,Team.LOS_ANGELES_LAKERS
