,p1,p2,p3,team,date,venue
1,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/1/2016,Location.HOME
2,Pau Gasol,Jimmy Butler,Doug McDermott,Team.CHICAGO_BULLS,1/1/2016,Location.HOME
3,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/1/2016,Location.HOME
4,Jerami Grant,Isaiah Canaan,Nik Stauskas,Team.PHILADELPHIA_76ERS,1/1/2016,Location.AWAY
5,Kemba Walker,Marvin Williams,Nicolas Batum,Team.CHARLOTTE_HORNETS,1/1/2016,Location.AWAY
6,Arron Afflalo,Carmelo Anthony,Robin Lopez,Team.NEW_YORK_KNICKS,1/1/2016,Location.AWAY
7,Evan Fournier,Victor Oladipo,Aaron Gordon,Team.ORLANDO_MAGIC,1/1/2016,Location.AWAY
8,Jordan Clarkson,Julius Randle,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,1/1/2016,Location.HOME
9,Wesley Matthews,Dirk Nowitzki,Raymond Felton,Team.DALLAS_MAVERICKS,1/1/2016,Location.AWAY
10,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/1/2016,Location.HOME
11,Nik Stauskas,Jerami Grant,Ish Smith,Team.PHILADELPHIA_76ERS,1/2/2016,Location.AWAY
12,Kemba Walker,Jeremy Lin,Frank Kaminsky,Team.CHARLOTTE_HORNETS,1/2/2016,Location.HOME
13,Evan Fournier,Victor Oladipo,Aaron Gordon,Team.ORLANDO_MAGIC,1/2/2016,Location.AWAY
14,Wesley Matthews,Dirk Nowitzki,Raymond Felton,Team.DALLAS_MAVERICKS,1/2/2016,Location.HOME
15,Klay Thompson,Draymond Green,Andre Iguodala,Team.GOLDEN_STATE_WARRIORS,1/2/2016,Location.HOME
16,DeMarcus Cousins,Rajon Rondo,Darren Collison,Team.SACRAMENTO_KINGS,1/2/2016,Location.HOME
17,Kevin Durant,Russell Westbrook,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,1/2/2016,Location.AWAY
18,LeBron James,Kyrie Irving,J.R. Smith,Team.CLEVELAND_CAVALIERS,1/2/2016,Location.HOME
19,Anthony Davis,Norris Cole,Eric Gordon,Team.NEW_ORLEANS_PELICANS,1/2/2016,Location.AWAY
20,Rodney Hood,Gordon Hayward,Trevor Booker,Team.UTAH_JAZZ,1/2/2016,Location.HOME
21,Paul George,Monta Ellis,George Hill,Team.INDIANA_PACERS,1/2/2016,Location.HOME
22,DeAndre Jordan,Chris Paul,Jamal Crawford,Team.LOS_ANGELES_CLIPPERS,1/2/2016,Location.HOME
23,Brook Lopez,Thaddeus Young,Bojan Bogdanovi?,Team.BROOKLYN_NETS,1/2/2016,Location.AWAY
24,Giannis Antetokounmpo,Jabari Parker,Khris Middleton,Team.MILWAUKEE_BUCKS,1/2/2016,Location.AWAY
25,Devin Booker,T.J. Warren,Brandon Knight,Team.PHOENIX_SUNS,1/2/2016,Location.AWAY
26,LaMarcus Aldridge,Kawhi Leonard,Danny Green,Team.SAN_ANTONIO_SPURS,1/2/2016,Location.HOME
27,Will Barton,Jameer Nelson,Danilo Gallinari,Team.DENVER_NUGGETS,1/2/2016,Location.AWAY
28,James Harden,Trevor Ariza,Dwight Howard,Team.HOUSTON_ROCKETS,1/2/2016,Location.AWAY
29,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/2/2016,Location.HOME
30,Isaiah Thomas,Evan Turner,Avery Bradley,Team.BOSTON_CELTICS,1/2/2016,Location.HOME
31,Marc Gasol,Jeff Green,Courtney Lee,Team.MEMPHIS_GRIZZLIES,1/2/2016,Location.AWAY
32,Marcus Morris,Kentavious Caldwell-Pope,Andre Drummond,Team.DETROIT_PISTONS,1/2/2016,Location.AWAY
33,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/3/2016,Location.HOME
34,Pau Gasol,Jimmy Butler,Doug McDermott,Team.CHICAGO_BULLS,1/3/2016,Location.AWAY
35,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/3/2016,Location.AWAY
36,Arron Afflalo,Carmelo Anthony,Robin Lopez,Team.NEW_YORK_KNICKS,1/3/2016,Location.HOME
37,Jordan Clarkson,Julius Randle,D'Angelo Russell,Team.LOS_ANGELES_LAKERS,1/3/2016,Location.HOME
38,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/3/2016,Location.HOME
39,Devin Booker,P.J. Tucker,Alex Len,Team.PHOENIX_SUNS,1/3/2016,Location.AWAY
40,Danilo Gallinari,Jameer Nelson,Kenneth Faried,Team.DENVER_NUGGETS,1/3/2016,Location.HOME
41,Al Horford,Paul Millsap,Kyle Korver,Team.ATLANTA_HAWKS,1/3/2016,Location.AWAY
42,CJ McCollum,Allen Crabbe,Ed Davis,Team.PORTLAND_TRAIL_BLAZERS,1/3/2016,Location.AWAY
43,Luol Deng,Goran Dragi?,Dwyane Wade,Team.MIAMI_HEAT,1/4/2016,Location.HOME
44,Nerlens Noel,Ish Smith,Nik Stauskas,Team.PHILADELPHIA_76ERS,1/4/2016,Location.HOME
45,Kemba Walker,Jeremy Lin,Marvin Williams,Team.CHARLOTTE_HORNETS,1/4/2016,Location.AWAY
46,Evan Fournier,Victor Oladipo,Aaron Gordon,Team.ORLANDO_MAGIC,1/4/2016,Location.AWAY
47,Kyle Lowry,DeMar DeRozan,Patrick Patterson,Team.TORONTO_RAPTORS,1/4/2016,Location.AWAY
48,Draymond Green,Klay Thompson,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,1/4/2016,Location.HOME
