,p1,p2,p3,team,date,venue
1,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/1/2016,Location.HOME
2,Jimmy Butler,Pau Gasol,Nikola Miroti?,Team.CHICAGO_BULLS,1/1/2016,Location.HOME
3,Dwyane Wade,Hassan Whiteside,Luol Deng,Team.MIAMI_HEAT,1/1/2016,Location.HOME
4,Ish Smith,Nerlens Noel,Robert Covington,Team.PHILADELPHIA_76ERS,1/1/2016,Location.AWAY
5,Wesley Matthews,Zaza Pachulia,Dirk Nowitzki,Team.DALLAS_MAVERICKS,1/1/2016,Location.AWAY
6,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/1/2016,Location.AWAY
7,Arron Afflalo,Robin Lopez,Carmelo Anthony,Team.NEW_YORK_KNICKS,1/1/2016,Location.AWAY
8,Jordan Clarkson,Julius Randle,Lou Williams,Team.LOS_ANGELES_LAKERS,1/1/2016,Location.HOME
9,Victor Oladipo,Nikola Vu?evi?,Evan Fournier,Team.ORLANDO_MAGIC,1/1/2016,Location.AWAY
10,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/1/2016,Location.HOME
11,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/3/2016,Location.HOME
12,Jimmy Butler,Pau Gasol,Nikola Miroti?,Team.CHICAGO_BULLS,1/3/2016,Location.AWAY
13,Dwyane Wade,Hassan Whiteside,Luol Deng,Team.MIAMI_HEAT,1/3/2016,Location.AWAY
14,Arron Afflalo,Robin Lopez,Carmelo Anthony,Team.NEW_YORK_KNICKS,1/3/2016,Location.HOME
15,Jordan Clarkson,Julius Randle,Lou Williams,Team.LOS_ANGELES_LAKERS,1/3/2016,Location.HOME
16,Jeff Teague,Al Horford,Paul Millsap,Team.ATLANTA_HAWKS,1/3/2016,Location.AWAY
17,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/3/2016,Location.HOME
18,Devin Booker,Tyson Chandler,Mirza Teletovi?,Team.PHOENIX_SUNS,1/3/2016,Location.AWAY
19,CJ McCollum,Mason Plumlee,Gerald Henderson,Team.PORTLAND_TRAIL_BLAZERS,1/3/2016,Location.AWAY
20,Gary Harris,Nikola Joki?,Kenneth Faried,Team.DENVER_NUGGETS,1/3/2016,Location.HOME
21,John Wall,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/6/2016,Location.HOME
22,Jrue Holiday,Anthony Davis,Ryan Anderson,Team.NEW_ORLEANS_PELICANS,1/6/2016,Location.HOME
23,Dwyane Wade,Hassan Whiteside,Luol Deng,Team.MIAMI_HEAT,1/6/2016,Location.HOME
24,Andrew Wiggins,Karl-Anthony Towns,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,1/6/2016,Location.HOME
25,Raymond Felton,Dwight Powell,Chandler Parsons,Team.DALLAS_MAVERICKS,1/6/2016,Location.AWAY
26,Kevin Durant,Enes Kanter,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,1/6/2016,Location.HOME
27,Kemba Walker,Cody Zeller,Marvin Williams,Team.CHARLOTTE_HORNETS,1/6/2016,Location.AWAY
28,Arron Afflalo,Robin Lopez,Carmelo Anthony,Team.NEW_YORK_KNICKS,1/6/2016,Location.AWAY
29,LeBron James,Tristan Thompson,Kyrie Irving,Team.CLEVELAND_CAVALIERS,1/6/2016,Location.AWAY
30,Reggie Jackson,Andre Drummond,Marcus Morris,Team.DETROIT_PISTONS,1/6/2016,Location.AWAY
31,Victor Oladipo,Nikola Vu?evi?,Evan Fournier,Team.ORLANDO_MAGIC,1/6/2016,Location.HOME
32,Monta Ellis,Myles Turner,Paul George,Team.INDIANA_PACERS,1/6/2016,Location.AWAY
33,Chris Paul,DeAndre Jordan,J.J. Redick,Team.LOS_ANGELES_CLIPPERS,1/6/2016,Location.AWAY
34,Kyle Lowry,Jonas Valan?i?nas,DeMar DeRozan,Team.TORONTO_RAPTORS,1/6/2016,Location.AWAY
35,Isaiah Thomas,Amir Johnson,Evan Turner,Team.BOSTON_CELTICS,1/6/2016,Location.HOME
36,Kyle Anderson,Tim Duncan,David West,Team.SAN_ANTONIO_SPURS,1/6/2016,Location.HOME
37,Donald Sloan,Brook Lopez,Thaddeus Young,Team.BROOKLYN_NETS,1/6/2016,Location.HOME
38,Tony Allen,Zach Randolph,Matt Barnes,Team.MEMPHIS_GRIZZLIES,1/6/2016,Location.AWAY
39,Devin Booker,Tyson Chandler,Mirza Teletovi?,Team.PHOENIX_SUNS,1/6/2016,Location.HOME
40,Damian Lillard,Mason Plumlee,Ed Davis,Team.PORTLAND_TRAIL_BLAZERS,1/6/2016,Location.HOME
