,p1,p2,p3,team,date,venue
1,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/1/2013,Location.AWAY
2,bryanko01,howardw01,bryanko01,Team.LOS_ANGELES_LAKERS,1/1/2013,Location.HOME
3,holidjr01,hawessp01,holidjr01,Team.PHILADELPHIA_76ERS,1/1/2013,Location.AWAY
4,paulch01,jordade01,paulch01,Team.LOS_ANGELES_CLIPPERS,1/1/2013,Location.AWAY
5,vasqugr01,davisan02,vasqugr01,Team.NEW_ORLEANS_HORNETS,1/1/2013,Location.HOME
6,cartevi01,kamanch01,cartevi01,Team.DALLAS_MAVERICKS,1/1/2013,Location.AWAY
7,millean02,mcgeeja01,millean02,Team.DENVER_NUGGETS,1/1/2013,Location.HOME
8,lillada01,aldrila01,aldrila01,Team.PORTLAND_TRAIL_BLAZERS,1/1/2013,Location.AWAY
9,thomais02,couside01,couside01,Team.SACRAMENTO_KINGS,1/1/2013,Location.AWAY
10,smithjr01,chandty01,anthoca01,Team.NEW_YORK_KNICKS,1/1/2013,Location.HOME
11,bealbr01,okafoem01,bealbr01,Team.WASHINGTON_WIZARDS,1/1/2013,Location.HOME
12,knighbr03,monrogr01,monrogr01,Team.DETROIT_PISTONS,1/1/2013,Location.HOME
13,holidjr01,hawessp01,holidjr01,Team.PHILADELPHIA_76ERS,1/2/2013,Location.AWAY
14,paulch01,jordade01,paulch01,Team.LOS_ANGELES_CLIPPERS,1/2/2013,Location.AWAY
15,vasqugr01,davisan02,vasqugr01,Team.NEW_ORLEANS_HORNETS,1/2/2013,Location.AWAY
16,mayooj01,kamanch01,mayooj01,Team.DALLAS_MAVERICKS,1/2/2013,Location.AWAY
17,lillada01,aldrila01,aldrila01,Team.PORTLAND_TRAIL_BLAZERS,1/2/2013,Location.AWAY
18,thomais02,couside01,couside01,Team.SACRAMENTO_KINGS,1/2/2013,Location.AWAY
19,crawfjo02,hilarne01,crawfjo02,Team.WASHINGTON_WIZARDS,1/2/2013,Location.AWAY
20,robinna01,boozeca01,boozeca01,Team.CHICAGO_BULLS,1/2/2013,Location.AWAY
21,willide01,lopezbr01,willide01,Team.BROOKLYN_NETS,1/2/2013,Location.AWAY
22,nelsoja01,vucevni01,nelsoja01,Team.ORLANDO_MAGIC,1/2/2013,Location.HOME
23,shvedal01,pekovni01,kirilan01,Team.MINNESOTA_TIMBERWOLVES,1/2/2013,Location.AWAY
24,conlemi01,gasolma01,gasolma01,Team.MEMPHIS_GRIZZLIES,1/2/2013,Location.AWAY
25,haywago01,jeffeal01,jeffeal01,Team.UTAH_JAZZ,1/2/2013,Location.HOME
26,dragigo01,gortama01,dragigo01,Team.PHOENIX_SUNS,1/2/2013,Location.HOME
27,curryst01,biedran01,curryst01,Team.GOLDEN_STATE_WARRIORS,1/2/2013,Location.HOME
28,derozde01,johnsam01,derozde01,Team.TORONTO_RAPTORS,1/2/2013,Location.HOME
29,piercpa01,garneke01,piercpa01,Team.BOSTON_CELTICS,1/2/2013,Location.HOME
30,parketo01,duncati01,parketo01,Team.SAN_ANTONIO_SPURS,1/2/2013,Location.AWAY
31,jamesle01,boshch01,jamesle01,Team.MIAMI_HEAT,1/2/2013,Location.HOME
32,duranke01,ibakase01,duranke01,Team.OKLAHOMA_CITY_THUNDER,1/2/2013,Location.HOME
33,augusdj01,mahinia01,georgpa01,Team.INDIANA_PACERS,1/2/2013,Location.HOME
34,ellismo01,sandela01,ellismo01,Team.MILWAUKEE_BUCKS,1/2/2013,Location.HOME
35,irvinky01,thomptr01,irvinky01,Team.CLEVELAND_CAVALIERS,1/2/2013,Location.HOME
36,hardeja01,asikom01,hardeja01,Team.HOUSTON_ROCKETS,1/2/2013,Location.HOME
37,lawsoty01,koufoko01,lawsoty01,Team.DENVER_NUGGETS,1/3/2013,Location.HOME
38,smithjr01,chandty01,anthoca01,Team.NEW_YORK_KNICKS,1/3/2013,Location.HOME
39,bareajo01,pekovni01,bareajo01,Team.MINNESOTA_TIMBERWOLVES,1/3/2013,Location.AWAY
40,parketo01,duncati01,parketo01,Team.SAN_ANTONIO_SPURS,1/3/2013,Location.AWAY
41,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/4/2013,Location.AWAY
42,bryanko01,howardw01,bryanko01,Team.LOS_ANGELES_LAKERS,1/4/2013,Location.AWAY
