,p1,p2,p3,team,date,venue
1,walljo01,gortama01,porteot01,Team.WASHINGTON_WIZARDS,1/1/16,Location.HOME
2,gasolpa01,butleji01,mcderdo01,Team.CHICAGO_BULLS,1/1/16,Location.HOME
3,denglu01,dragigo01,wadedw01,Team.MIAMI_HEAT,1/1/16,Location.HOME
4,grantje01,canaais01,stausni01,Team.PHILADELPHIA_76ERS,1/1/16,Location.AWAY
5,walkeke02,willima02,batumni01,Team.CHARLOTTE_HORNETS,1/1/16,Location.AWAY
6,afflaar01,anthoca01,lopezro01,Team.NEW_YORK_KNICKS,1/1/16,Location.AWAY
7,fournev01,oladivi01,gordoaa01,Team.ORLANDO_MAGIC,1/1/16,Location.AWAY
8,clarkjo01,randlju01,russeda01,Team.LOS_ANGELES_LAKERS,1/1/16,Location.HOME
9,matthwe02,nowitdi01,feltora01,Team.DALLAS_MAVERICKS,1/1/16,Location.AWAY
10,lowryky01,derozde01,pattepa01,Team.TORONTO_RAPTORS,1/1/16,Location.HOME
11,stausni01,grantje01,smithis01,Team.PHILADELPHIA_76ERS,1/2/16,Location.AWAY
12,walkeke02,linje01,kaminfr01,Team.CHARLOTTE_HORNETS,1/2/16,Location.HOME
13,fournev01,oladivi01,gordoaa01,Team.ORLANDO_MAGIC,1/2/16,Location.AWAY
14,matthwe02,nowitdi01,feltora01,Team.DALLAS_MAVERICKS,1/2/16,Location.HOME
15,thompkl01,greendr01,iguodan01,Team.GOLDEN_STATE_WARRIORS,1/2/16,Location.HOME
16,couside01,rondora01,collida01,Team.SACRAMENTO_KINGS,1/2/16,Location.HOME
17,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/2/16,Location.AWAY
18,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/2/16,Location.HOME
19,davisan02,coleno01,gordoer01,Team.NEW_ORLEANS_PELICANS,1/2/16,Location.AWAY
20,hoodro01,haywago01,booketr01,Team.UTAH_JAZZ,1/2/16,Location.HOME
21,georgpa01,ellismo01,hillge01,Team.INDIANA_PACERS,1/2/16,Location.HOME
22,jordade01,paulch01,crawfja01,Team.LOS_ANGELES_CLIPPERS,1/2/16,Location.HOME
23,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/2/16,Location.AWAY
24,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/2/16,Location.AWAY
25,bookede01,warretj01,knighbr03,Team.PHOENIX_SUNS,1/2/16,Location.AWAY
26,aldrila01,leonaka01,greenda02,Team.SAN_ANTONIO_SPURS,1/2/16,Location.HOME
27,bartowi01,nelsoja01,gallida01,Team.DENVER_NUGGETS,1/2/16,Location.AWAY
28,hardeja01,arizatr01,howardw01,Team.HOUSTON_ROCKETS,1/2/16,Location.AWAY
29,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/2/16,Location.HOME
30,thomais02,turneev01,bradlav01,Team.BOSTON_CELTICS,1/2/16,Location.HOME
31,gasolma01,greenje02,leeco01,Team.MEMPHIS_GRIZZLIES,1/2/16,Location.AWAY
32,morrima03,caldwke01,drumman01,Team.DETROIT_PISTONS,1/2/16,Location.AWAY
33,walljo01,gortama01,porteot01,Team.WASHINGTON_WIZARDS,1/3/16,Location.HOME
34,gasolpa01,butleji01,mcderdo01,Team.CHICAGO_BULLS,1/3/16,Location.AWAY
35,denglu01,dragigo01,wadedw01,Team.MIAMI_HEAT,1/3/16,Location.AWAY
36,afflaar01,anthoca01,lopezro01,Team.NEW_YORK_KNICKS,1/3/16,Location.HOME
37,clarkjo01,randlju01,russeda01,Team.LOS_ANGELES_LAKERS,1/3/16,Location.HOME
38,lowryky01,derozde01,pattepa01,Team.TORONTO_RAPTORS,1/3/16,Location.HOME
39,bookede01,tuckepj01,lenal01,Team.PHOENIX_SUNS,1/3/16,Location.AWAY
40,gallida01,nelsoja01,farieke01,Team.DENVER_NUGGETS,1/3/16,Location.HOME
41,horfoal01,millspa01,korveky01,Team.ATLANTA_HAWKS,1/3/16,Location.AWAY
42,mccolcj01,crabbal01,davised01,Team.PORTLAND_TRAIL_BLAZERS,1/3/16,Location.AWAY
43,denglu01,dragigo01,wadedw01,Team.MIAMI_HEAT,1/4/16,Location.HOME
44,noelne01,smithis01,stausni01,Team.PHILADELPHIA_76ERS,1/4/16,Location.HOME
45,walkeke02,linje01,willima02,Team.CHARLOTTE_HORNETS,1/4/16,Location.AWAY
46,fournev01,oladivi01,gordoaa01,Team.ORLANDO_MAGIC,1/4/16,Location.AWAY
47,lowryky01,derozde01,pattepa01,Team.TORONTO_RAPTORS,1/4/16,Location.AWAY
48,greendr01,thompkl01,barneha02,Team.GOLDEN_STATE_WARRIORS,1/4/16,Location.HOME
49,couside01,rondora01,collida01,Team.SACRAMENTO_KINGS,1/4/16,Location.AWAY
50,westbru01,ibakase01,morroan01,Team.OKLAHOMA_CITY_THUNDER,1/4/16,Location.HOME
51,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/4/16,Location.HOME
52,haywago01,hoodro01,witheje01,Team.UTAH_JAZZ,1/4/16,Location.HOME
53,georgpa01,ellismo01,mahinia01,Team.INDIANA_PACERS,1/4/16,Location.AWAY
54,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/4/16,Location.HOME
55,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/4/16,Location.HOME
56,aldrila01,leonaka01,greenda02,Team.SAN_ANTONIO_SPURS,1/4/16,Location.AWAY
57,hardeja01,arizatr01,howardw01,Team.HOUSTON_ROCKETS,1/4/16,Location.AWAY
58,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/4/16,Location.AWAY
59,turneev01,crowdja01,olynyke01,Team.BOSTON_CELTICS,1/4/16,Location.AWAY
60,barnema02,randoza01,allento01,Team.MEMPHIS_GRIZZLIES,1/4/16,Location.AWAY
61,morrima03,caldwke01,drumman01,Team.DETROIT_PISTONS,1/4/16,Location.HOME
62,lillada01,mccolcj01,aminual01,Team.PORTLAND_TRAIL_BLAZERS,1/4/16,Location.HOME
63,gasolpa01,butleji01,mcderdo01,Team.CHICAGO_BULLS,1/5/16,Location.HOME
64,afflaar01,anthoca01,lopezro01,Team.NEW_YORK_KNICKS,1/5/16,Location.AWAY
65,brownan02,clarkjo01,artesro01,Team.LOS_ANGELES_LAKERS,1/5/16,Location.HOME
66,matthwe02,nowitdi01,feltora01,Team.DALLAS_MAVERICKS,1/5/16,Location.HOME
67,greendr01,thompkl01,barneha02,Team.GOLDEN_STATE_WARRIORS,1/5/16,Location.AWAY
68,couside01,gayru01,collida01,Team.SACRAMENTO_KINGS,1/5/16,Location.AWAY
69,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/5/16,Location.AWAY
70,horfoal01,millspa01,korveky01,Team.ATLANTA_HAWKS,1/5/16,Location.HOME
71,walljo01,gortama01,porteot01,Team.WASHINGTON_WIZARDS,1/6/16,Location.HOME
72,denglu01,dragigo01,wadedw01,Team.MIAMI_HEAT,1/6/16,Location.HOME
73,hairspj02,walkeke02,zelleco01,Team.CHARLOTTE_HORNETS,1/6/16,Location.AWAY
74,afflaar01,anthoca01,lopezro01,Team.NEW_YORK_KNICKS,1/6/16,Location.AWAY
75,fournev01,oladivi01,gordoaa01,Team.ORLANDO_MAGIC,1/6/16,Location.HOME
76,feltora01,parsoch01,poweldw01,Team.DALLAS_MAVERICKS,1/6/16,Location.AWAY
77,lowryky01,derozde01,pattepa01,Team.TORONTO_RAPTORS,1/6/16,Location.AWAY
78,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/6/16,Location.HOME
79,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/6/16,Location.AWAY
80,cunnida01,holidjr01,davisan02,Team.NEW_ORLEANS_PELICANS,1/6/16,Location.HOME
81,lylestr01,haywago01,johnsch04,Team.UTAH_JAZZ,1/6/16,Location.AWAY
