,name,player_y,slug,date_y
47857,,Cameron Oliver,,2017-10-17
47858,,Bobby Brown,,2017-10-17
47859,,Andre Iguodala,,2017-10-17
47860,,Marcus Morris,,2017-10-17
47861,,Jose Calderon,,2017-10-17
47862,,Channing Frye,,2017-10-17
47863,,Tarik Black,,2017-10-17
47864,,Nene Hilario,,2017-10-17
47865,,Isaiah Thomas,,2017-10-17
47866,,Zhou Qi,,2017-10-17
47867,,JaVale McGee,,2017-10-17
47868,,Devin Williams,,2017-10-17
47869,,Guerschon Yabusele,,2017-10-17
47870,,L.J. Peak,,2017-10-17
47871,,Abdel Nader,,2017-10-17
47872,,Daniel Theis,,2017-10-17
47873,,Jabari Bird,,2017-10-17
47874,,Tim Quarterman,,2017-10-17
47875,,Kadeem Allen,,2017-10-17
47876,,Cedi Osman,,2017-10-17
47877,,Ante Zizic,,2017-10-17
47878,,Antonius Cleveland,,2017-10-17
47879,,Chris Boucher,,2017-10-17
47880,,George de Paula,,2017-10-17
47881,,Andrew White III,,2017-10-17
47882,,Troy Williams,,2017-10-17
47883,,Alex Hamilton,,2017-10-17
47884,,Chinanu Onuaku,,2017-10-17
47885,,Georges Niang,,2017-10-17
47886,,Chris Johnson,,2017-10-17
47887,,Kendrick Perkins,,2017-10-17
47888,,Walter Tavares,,2017-10-17
47889,,Richard Jefferson,,2017-10-17
47890,,Jonathan Holmes,,2017-10-17
47891,,Isaiah Taylor,,2017-10-17
47892,,Damian Jones,,2017-10-17
47893,,Kay Felder,,2017-10-17
47894,,John Holland,,2017-10-17
47895,,Michael Gbinije,,2017-10-17
47896,,Demetrius Jackson,,2017-10-17
47897,,Darrell Arthur,,2017-10-18
47898,,Davon Reed,,2017-10-18
47899,,Jared Dudley,,2017-10-18
47900,,Derrick Jones Jr.,,2017-10-18
47901,,Eric Griffin,,2017-10-18
47902,,Nate Wolters,,2017-10-18
47903,,Royce O'Neale,,2017-10-18
47904,,Dante Exum,,2017-10-18
47905,,Brandon Knight,,2017-10-18
47906,,Tony Bradley,,2017-10-18
47907,,Edmond Sumner,,2017-10-18
47908,,Monte Morris,,2017-10-18
47909,,Jordan Mickey,,2017-10-18
47910,,Jacob Wiley,,2017-10-18
47911,,Tyler Zeller,,2017-10-18
47912,,Yakuba Ouattara,,2017-10-18
47913,,Isaiah Whitehead,,2017-10-18
47914,,Joe Harris,,2017-10-18
47915,,Joseph Young,,2017-10-18
47916,,Ike Anigbogu,,2017-10-18
47917,,Alex Poythress,,2017-10-18
47918,,C.J. Wilcox,,2017-10-18
47919,,Mangok Mathiang,,2017-10-18
47920,,Torrey Craig,,2017-10-18
47921,,Johnny O'Bryant,,2017-10-18
47922,,Marcus Paige,,2017-10-18
47923,,Dwight Buyks,,2017-10-18
47924,,Anthony Tolliver,,2017-10-18
47925,,Luis Montero,,2017-10-18
47926,,Raulzinho Neto,,2017-10-18
47927,,Reggie Bullock,,2017-10-18
47928,,Tyler Lydon,,2017-10-18
47929,,Matt Williams,,2017-10-18
47931,,Jameer Nelson,,2017-10-18
47932,,DeAndre Liggins,,2017-10-18
47933,,D.J. Wilson,,2017-10-18
47934,,Jason Terry,,2017-10-18
47935,,Sterling Brown,,2017-10-18
47936,,Mirza Teletovic,,2017-10-18
47937,,Shane Larkin,,2017-10-18
47940,,Okaro White,,2017-10-18
47941,,Michael Young,,2017-10-18
47942,,Alexis Ajinca,,2017-10-18
47943,,Ivan Rabb,,2017-10-18
47944,,Vince Hunter,,2017-10-18
47945,,Kobi Simmons,,2017-10-18
47946,,Wayne Selden,,2017-10-18
