,name,player_y,dt,minutes,slug
28924,Kyle Korver,Kyle Korver,2017-10-17,7.316666666666666,korveky01
37660,Jaylen Brown,Jaylen Brown,2017-10-17,39.6,brownja02
6217,Nick Young,Nick Young,2017-10-17,26.166666666666668,youngni01
2895,Dwyane Wade,Dwyane Wade,2017-10-17,28.5,wadedw01
21443,Shaun Livingston,Shaun Livingston,2017-10-17,18.55,livinsh01
14467,Ryan Anderson,Ryan Anderson,2017-10-17,33.28333333333333,anderry01
1320,Zaza Pachulia,Zaza Pachulia,2017-10-17,10.233333333333333,pachuza01
18788,Kyrie Irving,Kyrie Irving,2017-10-17,39.35,irvinky01
18628,Aron Baynes,Aron Baynes,2017-10-17,19.1,baynear01
14995,Jae Crowder,Jae Crowder,2017-10-17,34.733333333333334,crowdja01
43991,Semi Ojeleye,Semi Ojeleye,2017-10-17,8.65,ojelese01
20994,Luc Mbah a Moute,Luc Mbah a Moute,2017-10-17,23.383333333333333,mbahalu01
10750,LeBron James,LeBron James,2017-10-17,41.2,jamesle01
35015,Kevon Looney,Kevon Looney,2017-10-17,7.766666666666667,looneke01
14569,Omri Casspi,Omri Casspi,2017-10-17,4.466666666666667,casspom01
26125,Shane Larkin,Shane Larkin,2017-10-17,4.816666666666666,larkish01
15266,Kevin Love,Kevin Love,2017-10-17,28.4,loveke01
34659,Terry Rozier,Terry Rozier,2017-10-17,19.533333333333335,roziete01
12906,Chris Paul,Chris Paul,2017-10-17,33.06666666666667,paulch01
23113,Stephen Curry,Stephen Curry,2017-10-17,29.55,curryst01
20397,P.J. Tucker,P.J. Tucker,2017-10-17,28.666666666666668,tuckepj01
17105,James Harden,James Harden,2017-10-17,36.4,hardeja01
10575,Kevin Durant,Kevin Durant,2017-10-17,37.63333333333333,duranke01
28585,Al Horford,Al Horford,2017-10-17,32.11666666666667,horfoal01
43655,Jayson Tatum,Jayson Tatum,2017-10-17,36.53333333333333,tatumja01
13531,Klay Thompson,Klay Thompson,2017-10-17,38.15,thompkl01
19192,Eric Gordon,Eric Gordon,2017-10-17,29.383333333333333,gordoer01
10326,Draymond Green,Draymond Green,2017-10-17,27.65,greendr01
19038,Trevor Ariza,Trevor Ariza,2017-10-17,37.65,arizatr01
32299,Derrick Rose,Derrick Rose,2017-10-17,31.25,rosede01
16053,Tristan Thompson,Tristan Thompson,2017-10-17,19.6,thomptr01
25562,Iman Shumpert,Iman Shumpert,2017-10-17,12.85,shumpim01
