,name,player_y,dt,minutes,slug
0,John Wall,John Wall,2017-10-18,37.15,walljo01
79,Nikola Miroti?,Nikola Mirotic,2017-12-08,14.9,mirotni01
111,Nikola Miroti?,Tyler Dorsey,2018-03-04,30.95,mirotni01
112,Nikola Miroti?,Treveon Graham,2018-03-06,24.783333333333335,mirotni01
113,Nikola Miroti?,Enes Kanter,2018-03-13,30.9,mirotni01
114,Nikola Miroti?,Anthony Davis,2018-03-15,29.35,mirotni01
169,Nikola Miroti?,Kevin Durant,2019-02-27,26.816666666666666,mirotni01
170,Nikola Miroti?,Ersan Ilyasova,2019-03-01,22.083333333333332,mirotni01
171,Nikola Miroti?,Edmond Sumner,2019-03-02,27.183333333333334,mirotni01
185,Hassan Whiteside,Hassan Whiteside,2017-10-18,36.233333333333334,whiteha01
226,Hassan Whiteside,Maurice Harkless,2018-03-01,18.5,whiteha01
227,Hassan Whiteside,Jusuf Nurkic,2018-03-03,24.716666666666665,whiteha01
228,Hassan Whiteside,Lauri Markkanen,2018-03-05,24.983333333333334,whiteha01
229,Hassan Whiteside,Dwyane Wade,2018-03-08,28.666666666666668,whiteha01
295,Hassan Whiteside,Marcus Smart,2019-03-06,20.233333333333334,whiteha01
296,Hassan Whiteside,Nerlens Noel,2019-03-08,23.216666666666665,whiteha01
297,Hassan Whiteside,Yuta Watanabe,2019-03-13,19.7,whiteha01
298,Hassan Whiteside,Haywood Highsmith,2019-03-15,18.65,whiteha01
310,Jimmy Butler,Jimmy Butler,2017-10-18,35.43333333333333,butleji01
422,Jimmy Butler,Allen Crabbe,2019-03-02,36.65,butleji01
423,Jimmy Butler,Allonzo Trier,2019-03-06,35.96666666666667,butleji01
424,Jimmy Butler,Austin Rivers,2019-03-08,33.53333333333333,butleji01
462,Nerlens Noel,Ishmael Smith,2018-02-28,15.833333333333334,noelne01
463,Nerlens Noel,DeAndre Bembry,2018-03-06,25.6,noelne01
464,Nerlens Noel,Nikola Jokic,2018-03-11,15.166666666666666,noelne01
465,Nerlens Noel,Dirk Nowitzki,2018-03-13,20.016666666666666,noelne01
466,Nerlens Noel,J.J. Redick,2018-03-16,27.033333333333335,noelne01
525,Nerlens Noel,Danilo Gallinari,2019-03-03,7.616666666666666,noelne01
542,Otto Porter,Otto Porter,2017-10-18,33.166666666666664,porteot01
598,Otto Porter,Cory Joseph,2018-02-28,32.083333333333336,porteot01
599,Otto Porter,Joe Johnson,2018-03-09,25.966666666666665,porteot01
600,Otto Porter,Semi Ojeleye,2018-03-14,42.416666666666664,porteot01
663,Otto Porter,Wayne Ellington,2019-03-06,35.583333333333336,porteot01
664,Otto Porter,Georges Niang,2019-03-08,34.05,porteot01
665,Otto Porter,Frank Jackson,2019-03-12,32.56666666666667,porteot01
666,Otto Porter,Zaza Pachulia,2019-03-17,24.216666666666665,porteot01
667,Cody Zeller,Cody Zeller,2017-10-18,23.4,zelleco01
694,Cody Zeller,George Hill,2018-02-27,10.95,zelleco01
737,Cody Zeller,Josh Richardson,2019-02-27,33.88333333333333,zelleco01
738,Cody Zeller,Malcolm Miller,2019-03-01,23.916666666666668,zelleco01
739,Cody Zeller,Jaylen Adams,2019-03-06,29.366666666666667,zelleco01
740,Cody Zeller,Thomas Welsh,2019-03-08,21.783333333333335,zelleco01
741,José Calderón,Jose Calderon,2017-10-20,1.2333333333333334,caldejo01
783,José Calderón,Paul Zipser,2018-03-09,1.8,caldejo01
784,José Calderón,Kyle Collinsworth,2018-03-13,17.083333333333332,caldejo01
785,José Calderón,J.R. Smith,2018-03-17,36.166666666666664,caldejo01
848,José Calderón,Dzanan Musa,2019-03-06,3.466666666666667,caldejo01
853,Goran Dragi?,Goran Dragic,2017-10-18,30.616666666666667,dragigo01
908,Goran Dragi?,Gorgui Dieng,2018-03-01,34.71666666666667,dragigo01
909,Goran Dragi?,De'Aaron Fox,2018-03-03,31.0,dragigo01
910,Goran Dragi?,Darren Collison,2018-03-05,23.45,dragigo01
911,Goran Dragi?,Davis Bertans,2018-03-08,33.53333333333333,dragigo01
912,Goran Dragi?,Bismack Biyombo,2018-03-10,18.516666666666666,dragigo01
913,Goran Dragi?,Nick Collison,2018-03-12,30.75,dragigo01
914,Goran Dragi?,Vince Carter,2018-03-14,38.983333333333334,dragigo01
915,Goran Dragi?,C.J. Williams,2018-03-16,31.266666666666666,dragigo01
947,Goran Dragi?,Justin Anderson,2019-02-27,20.233333333333334,dragigo01
961,Victor Oladipo,Victor Oladipo,2017-10-18,24.55,oladivi01
1014,Victor Oladipo,Alfonzo McKinnie,2018-02-26,22.95,oladivi01
1015,Victor Oladipo,John Collins,2018-02-28,38.0,oladivi01
1016,Victor Oladipo,Jabari Parker,2018-03-04,39.45,oladivi01
1017,Victor Oladipo,Derrick Favors,2018-03-05,33.43333333333333,oladivi01
1018,Victor Oladipo,Shelvin Mack,2018-03-09,25.366666666666667,oladivi01
1019,Victor Oladipo,Solomon Hill,2018-03-11,35.65,oladivi01
1073,Lou Williams,Louis Williams,2017-10-19,24.683333333333334,willilo02
1128,Lou Williams,Jerian Grant,2018-02-27,36.0,willilo02
1129,Lou Williams,Dante Cunningham,2018-03-04,33.016666666666666,willilo02
1130,Lou Williams,Torrey Craig,2018-03-06,34.483333333333334,willilo02
1131,Lou Williams,Patrick Patterson,2018-03-10,34.5,willilo02
1197,Lou Williams,Karl-Anthony Towns,2019-02-27,33.833333333333336,willilo02
1198,Lou Williams,Alex Len,2019-03-01,28.166666666666668,willilo02
1199,Lou Williams,Jason Smith,2019-03-04,29.85,willilo02
1200,Lou Williams,Tony Parker,2019-03-08,34.1,willilo02
1201,Lou Williams,Dwight Powell,2019-03-12,26.583333333333332,willilo02
1267,Zaza Pachulia,DeMar DeRozan,2018-02-26,14.483333333333333,pachuza01
1268,Zaza Pachulia,Alex Abrines,2018-02-28,5.383333333333334,pachuza01
1269,Zaza Pachulia,Kent Bazemore,2018-03-02,9.0,pachuza01
1271,Zaza Pachulia,Jaylen Brown,2018-03-11,25.45,pachuza01
1272,Zaza Pachulia,Kyrie Irving,2018-03-14,23.283333333333335,pachuza01
1273,Zaza Pachulia,Corey Brewer,2018-03-16,17.1,pachuza01
1274,Zaza Pachulia,Alec Peters,2018-03-17,16.85,pachuza01
1330,Zaza Pachulia,Emmanuel Mudiay,2019-03-03,10.016666666666667,pachuza01
1347,Carmelo Anthony,Carmelo Anthony,2017-10-19,33.68333333333333,anthoca01
1404,Carmelo Anthony,Quinn Cook,2018-03-02,31.316666666666666,anthoca01
1405,Carmelo Anthony,Caris LeVert,2018-03-08,25.566666666666666,anthoca01
1433,Kyle Lowry,Kyle Lowry,2017-10-19,31.333333333333332,lowryky01
1485,Kyle Lowry,Paul Millsap,2018-03-07,41.35,lowryky01
1556,Kyle Lowry,Mario Hezonja,2019-02-26,35.333333333333336,lowryky01
1557,Kyle Lowry,PJ Dozier,2019-03-03,42.06666666666667,lowryky01
1558,Kyle Lowry,Melvin Frazier,2019-03-05,41.53333333333333,lowryky01
1559,Kyle Lowry,Ryan Arcidiacono,2019-03-08,34.45,lowryky01
1583,Gerald Green,Gerald Green,2017-12-31,21.933333333333334,greenge01
1696,Julius Randle,Julius Randle,2017-10-19,17.966666666666665,randlju01
1754,Julius Randle,Marquese Chriss,2018-03-05,33.583333333333336,randlju01
1755,Julius Randle,E'Twaun Moore,2018-03-07,30.166666666666668,randlju01
1756,Julius Randle,Ante Zizic,2018-03-11,37.983333333333334,randlju01
1757,Julius Randle,Tony Bradley,2018-03-13,39.1,randlju01
1824,Julius Randle,Davon Reed,2019-02-27,39.78333333333333,randlju01
1825,Julius Randle,Shaun Livingston,2019-03-02,37.916666666666664,randlju01
1826,Julius Randle,Kosta Koufos,2019-03-04,38.81666666666667,randlju01
1827,Julius Randle,Richaun Holmes,2019-03-06,35.36666666666667,randlju01
1828,Julius Randle,Glenn Robinson III,2019-03-08,32.35,randlju01
1837,Pau Gasol,Pau Gasol,2017-10-18,28.8,gasolpa01
1895,Pau Gasol,Reggie Jackson,2018-03-03,32.666666666666664,gasolpa01
1896,Pau Gasol,Tyson Chandler,2018-03-05,23.666666666666668,gasolpa01
1897,Pau Gasol,Patrick Beverley,2018-03-10,24.566666666666666,gasolpa01
1898,Pau Gasol,Terrance Ferguson,2018-03-13,15.0,gasolpa01
1996,DeMar DeRozan,Bogdan Bogdanovic,2018-03-07,43.31666666666667,derozde01
1997,DeMar DeRozan,Harry Giles,2018-03-16,41.4,derozde01
2074,DeMar DeRozan,Jae Crowder,2019-03-06,34.5,derozde01
2075,DeMar DeRozan,Dairis Bertans,2019-03-15,25.583333333333332,derozde01
2094,Marcin Gortat,Marcin Gortat,2017-10-18,34.43333333333333,gortama01
2154,Marcin Gortat,Jayson Tatum,2018-02-28,13.55,gortama01
2155,Marcin Gortat,Ian Clark,2018-03-09,16.383333333333333,gortama01
2156,Marcin Gortat,Jordan Mickey,2018-03-14,24.866666666666667,gortama01
2219,Bobby Portis,Bobby Portis,2017-11-07,24.383333333333333,portibo01
2269,Bobby Portis,Joel Embiid,2018-03-13,27.116666666666667,portibo01
2311,Bobby Portis,Mikal Bridges,2019-03-01,27.716666666666665,portibo01
2312,Bobby Portis,Kenrich Williams,2019-03-06,21.7,portibo01
2313,Bobby Portis,Thon Maker,2019-03-08,25.233333333333334,portibo01
2314,Bobby Portis,Jeremy Lamb,2019-03-11,33.31666666666667,portibo01
2315,Bobby Portis,Sam Dekker,2019-03-13,22.6,portibo01
2329,Marvin Williams,Marvin Williams,2017-10-18,26.65,willima02
2385,Marvin Williams,Thaddeus Young,2018-03-17,23.233333333333334,willima02
2454,Marvin Williams,Bojan Bogdanovic,2019-02-27,33.45,willima02
2455,Marvin Williams,Meyers Leonard,2019-03-01,38.35,willima02
2456,Marvin Williams,De'Anthony Melton,2019-03-06,35.35,willima02
2457,Marvin Williams,Deng Adel,2019-03-08,31.716666666666665,willima02
2458,Marvin Williams,Cameron Reynolds,2019-03-17,27.75,willima02
2466,Tobias Harris,Tobias Harris,2017-10-18,34.05,harrito02
2519,Tobias Harris,Taurean Prince,2018-02-28,35.95,harrito02
2520,Tobias Harris,Trey Lyles,2018-03-09,32.733333333333334,harrito02
2593,Tobias Harris,Damyean Dotson,2019-03-06,36.35,harrito02
2594,Tobias Harris,Jon Leuer,2019-03-08,33.56666666666667,harrito02
2595,Tobias Harris,Kris Dunn,2019-03-12,39.0,harrito02
2669,Dwyane Wade,Thomas Bryant,2018-03-01,25.633333333333333,wadedw01
2670,Dwyane Wade,Joffrey Lauvergne,2018-03-05,21.566666666666666,wadedw01
2735,Dwyane Wade,Kemba Walker,2019-02-27,25.75,wadedw01
2737,Dwyane Wade,Ryan Anderson,2019-03-02,22.5,wadedw01
2738,Dwyane Wade,Juan Hernangomez,2019-03-04,31.2,wadedw01
2739,Dwyane Wade,Luke Kornet,2019-03-06,29.85,wadedw01
2753,Frank Kaminsky,Frank Kaminsky,2017-10-18,23.2,kaminfr01
2807,Frank Kaminsky,Greg Monroe,2018-02-28,24.6,kaminfr01
2808,Frank Kaminsky,Udonis Haslem,2018-03-10,20.383333333333333,kaminfr01
2810,Frank Kaminsky,Blake Griffin,2018-03-15,19.783333333333335,kaminfr01
2849,Frank Kaminsky,Mike Muscala,2019-03-01,24.083333333333332,kaminfr01
2850,Frank Kaminsky,Grayson Allen,2019-03-06,23.4,kaminfr01
2851,Frank Kaminsky,Naz Long,2019-03-08,15.35,kaminfr01
