player,pos,salary,date
Giannis Antetokounmpo,SF/PF,11600,2019-01-01
Joel Embiid,C,10200,2019-01-01
Nikola Jokic,C,9800,2019-01-01
Kawhi Leonard,SF/PF,8900,2019-01-01
Ben Simmons,PG/SF,8800,2019-01-01
Damian Lillard,PG,8700,2019-01-01
Andre Drummond,C,8600,2019-01-01
Blake Griffin,PF/C,8500,2019-01-01
De'Aaron Fox,PG,8200,2019-01-01
Rudy Gobert,C,8000,2019-01-01
Jamal Murray,PG/SG,7600,2019-01-01
Jusuf Nurkic,C,7500,2019-01-01
Kyle Lowry,PG,7400,2019-01-01
Tobias Harris,SF/PF,7300,2019-01-01
Willie Cauley-Stein,C,7200,2019-01-01
Donovan Mitchell,PG/SG,7100,2019-01-01
Khris Middleton,SG/SF,7000,2019-01-01
Jimmy Butler,SG/SF,6900,2019-01-01
Montrezl Harrell,PF/C,6800,2019-01-01
Buddy Hield,SG/SF,6800,2019-01-01
Danilo Gallinari,SF/PF,6700,2019-01-01
C.J. McCollum,PG/SG,6600,2019-01-01
Louis Williams,PG/SG,6500,2019-01-01
Tim Hardaway Jr.,SG/SF,6400,2019-01-01
Noah Vonleh,PF/C,6300,2019-01-01
Eric Bledsoe,PG/SG,6200,2019-01-01
Pascal Siakam,PF/C,6100,2019-01-01
Serge Ibaka,PF/C,6000,2019-01-01
Kevin Knox,SF/PF,5900,2019-01-01
Ricky Rubio,PG,5800,2019-01-01
Bogdan Bogdanovic,SG/SF,5700,2019-01-01
Emmanuel Mudiay,PG,5600,2019-01-01
Malcolm Brogdon,PG/SG,5600,2019-01-01
Will Barton,SG/SF,5500,2019-01-01
Gary Harris,SG,5500,2019-01-01
Fred VanVleet,PG/SG,5500,2019-01-01
Paul Millsap,PF/C,5400,2019-01-01
Enes Kanter,C,5300,2019-01-01
Brook Lopez,C,5300,2019-01-01
Marvin Bagley III,PF/C,5300,2019-01-01
Joe Ingles,SG/SF,5200,2019-01-01
Nemanja Bjelica,SF/PF,5200,2019-01-01
Juan Hernangomez,SF/PF,5200,2019-01-01
Derrick Favors,PF/C,5100,2019-01-01
J.J. Redick,SG/SF,5100,2019-01-01
Mason Plumlee,PF/C,5000,2019-01-01
Al-Farouq Aminu,SF/PF,4900,2019-01-01
Reggie Jackson,PG/SG,4800,2019-01-01
Monte Morris,PG,4700,2019-01-01
Luke Kornet,PF/C,4600,2019-01-01
Jonas Valanciunas,C,4500,2019-01-01
Dante Exum,PG/SG,4400,2019-01-01
Iman Shumpert,SG/SF,4300,2019-01-01
Danny Green,SG/SF,4200,2019-01-01
Shai Gilgeous-Alexander,PG/SG,4200,2019-01-01
Jae Crowder,SF/PF,4100,2019-01-01
Malik Beasley,PG/SG,4100,2019-01-01
Isaiah Thomas,PG,4000,2019-01-01
Reggie Bullock,SG/SF,4000,2019-01-01
Avery Bradley,SG,3900,2019-01-01
Evan Turner,SG/SF,3800,2019-01-01
Wilson Chandler,SF/PF,3800,2019-01-01
Patrick Beverley,PG/SG,3700,2019-01-01
Maurice Harkless,SF/PF,3700,2019-01-01
Mike Muscala,PF/C,3700,2019-01-01
T.J. McConnell,PG/SG,3600,2019-01-01
Boban Marjanovic,C,3600,2019-01-01
D.J. Wilson,PF/C,3600,2019-01-01
Damyean Dotson,SG/SF,3600,2019-01-01
George Hill,PG/SG,3500,2019-01-01
Stanley Johnson,SF/PF,3500,2019-01-01
Delon Wright,PG/SG,3500,2019-01-01
Torrey Craig,SG/SF,3500,2019-01-01
Luke Kennard,SG/SF,3500,2019-01-01
C.J. Miles,SG/SF,3400,2019-01-01
Courtney Lee,SG/SF,3400,2019-01-01
Thabo Sefolosha,SF/PF,3400,2019-01-01
Zaza Pachulia,C,3400,2019-01-01
Furkan Korkmaz,SG/SF,3400,2019-01-01
OG Anunoby,SF/PF,3400,2019-01-01
Allonzo Trier,PG/SG,3400,2019-01-01
Ishmael Smith,PG,3300,2019-01-01
Trey Burke,PG/SG,3300,2019-01-01
Ersan Ilyasova,PF/C,3300,2019-01-01
Marcin Gortat,C,3300,2019-01-01
Kyle Korver,SG/SF,3300,2019-01-01
Mike Scott,SF/PF,3300,2019-01-01
Tony Snell,SG/SF,3300,2019-01-01
Meyers Leonard,PF/C,3300,2019-01-01
Langston Galloway,PG/SG,3300,2019-01-01
Trey Lyles,SF/PF,3300,2019-01-01
Tyrone Wallace,PG/SG,3300,2019-01-01
Frank Ntilikina,PG/SG,3300,2019-01-01
Bruce Brown Jr.,PG/SG,3300,2019-01-01
Greg Monroe,C,3200,2019-01-01
Pat Connaughton,SG/SF,3200,2019-01-01
Norman Powell,SG/SF,3200,2019-01-01
Thon Maker,PF/C,3200,2019-01-01
Sterling Brown,SG/SF,3200,2019-01-01
Zach Collins,PF/C,3200,2019-01-01
Justin Jackson,SF/PF,3200,2019-01-01
Mitchell Robinson,C,3200,2019-01-01
Landry Shamet,PG/SG,3200,2019-01-01
Jose Calderon,PG,3100,2019-01-01
Kosta Koufos,PF/C,3100,2019-01-01
Jon Leuer,PF/C,3100,2019-01-01
Nik Stauskas,SG/SF,3100,2019-01-01
Mario Hezonja,SF/PF,3100,2019-01-01
Seth Curry,PG/SG,3100,2019-01-01
Yogi Ferrell,PG/SG,3100,2019-01-01
Chris Boucher,PF/C,3100,2019-01-01
Royce O'Neale,SF,3100,2019-01-01
Jonah Bolden,PF,3100,2019-01-01
Donte DiVincenzo,PG/SF,3100,2019-01-01
Zach Randolph,PF/C,3000,2019-01-01
Amir Johnson,PF/C,3000,2019-01-01
Jason Smith,PF/C,3000,2019-01-01
Ben McLemore,SG/SF,3000,2019-01-01
Lance Thomas,SF/PF,3000,2019-01-01
Glenn Robinson III,SF/PF,3000,2019-01-01
Ekpe Udoh,C,3000,2019-01-01
Luc Mbah a Moute,SF/PF,3000,2019-01-01
Lorenzo Brown,PG,3000,2019-01-01
Kristaps Porzingis,PF/C,3000,2019-01-01
Christian Wood,PF/C,3000,2019-01-01
Raulzinho Neto,PG,3000,2019-01-01
Demetrius Jackson,PG,3000,2019-01-01
Henry Ellenson,PF/C,3000,2019-01-01
Georges Niang,SF/PF,3000,2019-01-01
Troy Williams,SF/PF,3000,2019-01-01
Wade Baldwin,PG/SG,3000,2019-01-01
Jake Layman,SF/PF,3000,2019-01-01
Malachi Richardson,SG/SF,3000,2019-01-01
Skal Labissiere,PF/C,3000,2019-01-01
Tyler Cavanaugh,PF,3000,2019-01-01
Isaiah Hicks,PF/C,3000,2019-01-01
Johnathan Motley,PF/C,3000,2019-01-01
Tyler Lydon,PF,3000,2019-01-01
Sindarius Thornwell,SG/SF,3000,2019-01-01
Milos Teodosic,PG,3000,2019-01-01
Justin Patton,C,3000,2019-01-01
Markelle Fultz,PG/SG,3000,2019-01-01
Caleb Swanigan,PF/C,3000,2019-01-01
Harry Giles,PF/C,3000,2019-01-01
Frank Mason III,PG/SG,3000,2019-01-01
Tony Bradley,C,3000,2019-01-01
Naz Long,PG,3000,2019-01-01
Jaylen Morris,SG,3000,2019-01-01
Anfernee Simons,PG/SG,3000,2019-01-01
Gary Trent Jr.,SG,3000,2019-01-01
Jordan Loyd,PG/SG,3000,2019-01-01
Jarred Vanderbilt,SF/PF,3000,2019-01-01
Thomas Welsh,C,3000,2019-01-01
Michael Porter Jr.,SF/PF,3000,2019-01-01
Shake Milton,PG/SG,3000,2019-01-01
Zhaire Smith,SG/SF,3000,2019-01-01
Wenyen Gabriel,SF/PF,3000,2019-01-01
Grayson Allen,PG/SG,3000,2019-01-01
Brandon Goodwin,PG/SG,3000,2019-01-01
Jerome Robinson,SG,3000,2019-01-01
