player,pos,salary,date,slug
Cameron Oliver,SF,3000,2017-10-17,
Tristan Thompson,C,3900,2017-10-17,thomptr01
Jayson Tatum,SF/PF,3900,2017-10-17,tatumja01
Terry Rozier,PG/SG,3800,2017-10-17,roziete01
Bobby Brown,PG,3800,2017-10-17,brownbo02
Shaun Livingston,PG/SG,3700,2017-10-17,livinsh01
Jaylen Brown,SG/SF,3700,2017-10-17,brownja02
Andre Iguodala,SG/SF,3600,2017-10-17,iguodan01
Marcus Morris,SF/PF,4000,2017-10-17,morrima03
Jose Calderon,PG,3500,2017-10-17,caldejo01
P.J. Tucker,SF/PF,3500,2017-10-17,tuckepj01
Patrick McCaw,SG/SF,3500,2017-10-17,mccawpa01
Channing Frye,PF/C,3400,2017-10-17,fryech01
J.R. Smith,SG/SF,3400,2017-10-17,smithjr01
Zaza Pachulia,C,3400,2017-10-17,pachuza01
Tarik Black,PF/C,3400,2017-10-17,blackta01
Aron Baynes,C,3300,2017-10-17,baynear01
Nene Hilario,C,3500,2017-10-17,hilarne01
Ryan Anderson,PF,4100,2017-10-17,anderry01
Jae Crowder,SF/PF,4300,2017-10-17,crowdja01
Trevor Ariza,SF/PF,4500,2017-10-17,arizatr01
LeBron James,SF/PF,10200,2017-10-17,jamesle01
James Harden,SG,10000,2017-10-17,hardeja01
Kevin Durant,SF/PF,9600,2017-10-17,duranke01
Stephen Curry,PG,8800,2017-10-17,curryst01
Kyrie Irving,PG,8300,2017-10-17,irvinky01
Chris Paul,PG,8000,2017-10-17,paulch01
Kevin Love,PF/C,7800,2017-10-17,loveke01
Draymond Green,PF/C,7000,2017-10-17,greendr01
Gordon Hayward,SF,6700,2017-10-17,haywago01
Isaiah Thomas,PG,6500,2017-10-17,thomais02
Klay Thompson,SG,6200,2017-10-17,thompkl01
Al Horford,C,6000,2017-10-17,horfoal01
Clint Capela,C,5600,2017-10-17,capelca01
Dwyane Wade,PG/SG,5200,2017-10-17,wadedw01
Derrick Rose,PG,5000,2017-10-17,rosede01
Marcus Smart,PG/SG,4800,2017-10-17,smartma01
Eric Gordon,SG,4600,2017-10-17,gordoer01
Kyle Korver,SG/SF,3300,2017-10-17,korveky01
Omri Casspi,SF/PF,3300,2017-10-17,casspom01
Zhou Qi,PF,3000,2017-10-17,qizh01
JaVale McGee,C,3200,2017-10-17,mcgeeja01
Devin Williams,PF,3000,2017-10-17,
Guerschon Yabusele,PF/C,3000,2017-10-17,yabusgu01
L.J. Peak,SG,3000,2017-10-17,
Abdel Nader,PF,3000,2017-10-17,naderab01
Daniel Theis,PF/C,3000,2017-10-17,theisda01
Jabari Bird,SG,3000,2017-10-17,birdja01
Semi Ojeleye,SG/SF,3000,2017-10-17,ojelese01
Tim Quarterman,PG,3000,2017-10-17,quartti01
Kadeem Allen,SG,3000,2017-10-17,allenka01
Cedi Osman,SG/SF,3000,2017-10-17,osmande01
Ante Zizic,PF/C,3000,2017-10-17,zizican01
Jordan Bell,PF/C,3000,2017-10-17,belljo01
Antonius Cleveland,SG,3000,2017-10-17,clevean01
Chris Boucher,PF,3000,2017-10-17,bouchch01
George de Paula,PG,3000,2017-10-17,
Nick Young,SG,3200,2017-10-17,youngni01
Andrew White III,SF,3000,2017-10-17,whitean01
Troy Williams,SG,3000,2017-10-17,willitr02
Alex Hamilton,PG,3000,2017-10-17,
Chinanu Onuaku,PF/C,3000,2017-10-17,onuakch01
Georges Niang,SF/PF,3000,2017-10-17,niangge01
Luc Mbah a Moute,SF/PF,3100,2017-10-17,mbahalu01
Jeff Green,SF/PF,3000,2017-10-17,greenje02
Iman Shumpert,PG/SG,3000,2017-10-17,shumpim01
Chris Johnson,SG/SF,3000,2017-10-17,
Kendrick Perkins,C,3000,2017-10-17,perkike01
Shane Larkin,PG,3000,2017-10-17,larkish01
Walter Tavares,C,3000,2017-10-17,
Richard Jefferson,SF/PF,3000,2017-10-17,jefferi01
Jonathan Holmes,PF,3000,2017-10-17,
Isaiah Taylor,PG,3000,2017-10-17,taylois01
Kevon Looney,SF/PF,3000,2017-10-17,looneke01
Damian Jones,C,3000,2017-10-17,jonesda03
David West,PF,3100,2017-10-17,westda01
Kay Felder,PG,3000,2017-10-17,feldeka01
John Holland,SG,3000,2017-10-17,hollajo02
Michael Gbinije,PG/SG,3000,2017-10-17,
Demetrius Jackson,PG,3000,2017-10-17,jacksde01
Darrell Arthur,PF,3000,2017-10-18,arthuda01
Davon Reed,SG,3000,2017-10-18,reedda01
Jared Dudley,PF,3000,2017-10-18,dudleja01
Alec Peters,PF,3000,2017-10-18,peteral01
Mike James,PG,3000,2017-10-18,jamesmi02
Troy Daniels,SG,3000,2017-10-18,danietr01
Derrick Jones Jr.,SF,3000,2017-10-18,jonesde02
Dragan Bender,PF/C,3000,2017-10-18,bendedr01
Eric Griffin,SF/PF,3000,2017-10-18,
Nate Wolters,PG,3000,2017-10-18,woltena01
Royce O'Neale,SF/PF,3000,2017-10-18,onealro01
Dante Exum,PG/SG,3000,2017-10-18,exumda01
