player,pos,salary,date
Russell Westbrook,PG,11800,2018-02-26
Anthony Davis,PF/C,11700,2018-02-26
James Harden,PG/SG,11100,2018-02-26
Stephen Curry,PG/SG,10600,2018-02-26
Kevin Durant,SF/PF,10500,2018-02-26
Karl-Anthony Towns,C,9900,2018-02-26
Andre Drummond,C,9200,2018-02-26
Jimmy Butler,SG/SF,9000,2018-02-26
Paul George,SF/PF,9000,2018-02-26
Victor Oladipo,PG/SG,8900,2018-02-26
Chris Paul,PG,8800,2018-02-26
Kyrie Irving,PG,8700,2018-02-26
Blake Griffin,PF/C,8500,2018-02-26
Devin Booker,SG/SF,8300,2018-02-26
DeMar DeRozan,SG/SF,8200,2018-02-26
Jrue Holiday,PG/SG,8100,2018-02-26
Draymond Green,PF/C,8000,2018-02-26
Donovan Mitchell,PG/SG,7900,2018-02-26
Julius Randle,PF/C,7800,2018-02-26
Elfrid Payton,PG,7700,2018-02-26
Zach LaVine,PG/SG,7600,2018-02-26
Nikola Vucevic,C,7500,2018-02-26
Jeff Teague,PG,7400,2018-02-26
Kyle Lowry,PG,7300,2018-02-26
Tyreke Evans,PG/SG,7200,2018-02-26
Aaron Gordon,SF/PF,7200,2018-02-26
Rudy Gobert,C,7200,2018-02-26
Marc Gasol,C,7100,2018-02-26
Steven Adams,C,7100,2018-02-26
Spencer Dinwiddie,PG/SG,7000,2018-02-26
Kris Dunn,PG/SG,7000,2018-02-26
Clint Capela,C,6900,2018-02-26
Enes Kanter,PF/C,6800,2018-02-26
Dennis Schroder,PG,6800,2018-02-26
Myles Turner,C,6700,2018-02-26
Andrew Wiggins,SG/SF,6600,2018-02-26
Brandon Ingram,SG/SF,6600,2018-02-26
Thaddeus Young,SF/PF,6500,2018-02-26
Klay Thompson,SG,6500,2018-02-26
Nikola Mirotic,PF,6500,2018-02-26
Willie Cauley-Stein,C,6500,2018-02-26
Lonzo Ball,PG,6500,2018-02-26
Al Horford,PF/C,6400,2018-02-26
Tim Hardaway Jr.,SG/SF,6400,2018-02-26
Bobby Portis,PF/C,6300,2018-02-26
D'Angelo Russell,PG/SG,6300,2018-02-26
Taj Gibson,PF/C,6200,2018-02-26
T.J. Warren,SF/PF,6200,2018-02-26
Michael Beasley,SF/PF,6200,2018-02-26
Dennis Smith Jr.,PG,6200,2018-02-26
Carmelo Anthony,SF/PF,6100,2018-02-26
Harrison Barnes,SF/PF,6100,2018-02-26
Zach Randolph,PF/C,6000,2018-02-26
Jonas Valanciunas,C,6000,2018-02-26
Kentavious Caldwell-Pope,SG,6000,2018-02-26
Joe Ingles,SG/SF,6000,2018-02-26
DeMarre Carroll,SF/PF,5900,2018-02-26
Juan Jose Barea,PG/SG,5900,2018-02-26
Rajon Rondo,PG,5800,2018-02-26
John Collins,PF/C,5800,2018-02-26
Derrick Favors,PF/C,5700,2018-02-26
Rondae Hollis-Jefferson,SF/PF,5700,2018-02-26
Kyle Kuzma,SF/PF,5700,2018-02-26
De'Aaron Fox,PG,5700,2018-02-26
Isaiah Thomas,PG/SG,5600,2018-02-26
Ricky Rubio,PG,5600,2018-02-26
Alex Len,C,5600,2018-02-26
Dwight Powell,PF/C,5600,2018-02-26
Domantas Sabonis,PF/C,5600,2018-02-26
Dirk Nowitzki,PF/C,5500,2018-02-26
Evan Fournier,SG/SF,5500,2018-02-26
Kent Bazemore,SG/SF,5500,2018-02-26
Jaylen Brown,SG/SF,5500,2018-02-26
Lauri Markkanen,PF,5500,2018-02-26
Lance Stephenson,SG/SF,5400,2018-02-26
Allen Crabbe,SG/SF,5400,2018-02-26
Mario Hezonja,SF/PF,5400,2018-02-26
Taurean Prince,SG/SF,5400,2018-02-26
Josh Jackson,SG/SF,5400,2018-02-26
Bogdan Bogdanovic,SG/SF,5400,2018-02-26
Dewayne Dedmon,PF/C,5300,2018-02-26
Serge Ibaka,PF/C,5300,2018-02-26
Buddy Hield,SG/SF,5300,2018-02-26
Jayson Tatum,SF/PF,5300,2018-02-26
Ishmael Smith,PG,5200,2018-02-26
Bojan Bogdanovic,SG/SF,5200,2018-02-26
Cory Joseph,PG,5100,2018-02-26
Terry Rozier,PG/SG,5100,2018-02-26
Andrew Harrison,PG/SG,5100,2018-02-26
Darren Collison,PG,5000,2018-02-26
Marcus Morris,SF/PF,5000,2018-02-26
Reggie Jackson,PG,5000,2018-02-26
David Nwaba,SG/SF,4900,2018-02-26
Jarrett Allen,PF/C,4900,2018-02-26
Eric Gordon,PG/SG,4800,2018-02-26
Wesley Matthews,SG/SF,4800,2018-02-26
Marcus Smart,SG/SF,4800,2018-02-26
Justin Holiday,SG/SF,4800,2018-02-26
Emmanuel Mudiay,PG,4800,2018-02-26
Jonathon Simmons,SG/SF,4800,2018-02-26
Trevor Ariza,SF/PF,4700,2018-02-26
D.J. Augustin,PG/SG,4700,2018-02-26
Reggie Bullock,SG/SF,4700,2018-02-26
JaMychal Green,SF/PF,4700,2018-02-26
Stanley Johnson,SG/SF,4700,2018-02-26
Nemanja Bjelica,SF/PF,4700,2018-02-26
Trey Burke,PG/SG,4600,2018-02-26
Ersan Ilyasova,SF/PF,4500,2018-02-26
Skal Labissiere,PF/C,4500,2018-02-26
Jae Crowder,SF/PF,4400,2018-02-26
Yogi Ferrell,PG/SG,4400,2018-02-26
Caris LeVert,SG/SF,4400,2018-02-26
Fred VanVleet,PG/SG,4400,2018-02-26
Tyson Chandler,C,4300,2018-02-26
Joe Harris,SG/SF,4300,2018-02-26
Brook Lopez,C,4300,2018-02-26
Shelvin Mack,PG/SG,4300,2018-02-26
E'Twaun Moore,SG/SF,4300,2018-02-26
Josh Hart,PG/SG,4300,2018-02-26
Dillon Brooks,SG/SF,4300,2018-02-26
Malcolm Delaney,PG/SG,4200,2018-02-26
Denzel Valentine,SG/SF,4200,2018-02-26
Tyler Dorsey,PG/SG,4200,2018-02-26
Royce O'Neale,SF,4200,2018-02-26
Ryan Anderson,PF/C,4100,2018-02-26
Jarell Martin,PF/C,4100,2018-02-26
Courtney Lee,SG/SF,4000,2018-02-26
Quincy Acy,PF/C,4000,2018-02-26
Bismack Biyombo,PF/C,4000,2018-02-26
Dragan Bender,PF/C,4000,2018-02-26
Jordan Bell,PF/C,4000,2018-02-26
Joe Johnson,SG/SF,3900,2018-02-26
Greg Monroe,PF/C,3900,2018-02-26
Anthony Tolliver,SF/PF,3900,2018-02-26
C.J. Miles,SG/SF,3900,2018-02-26
Garrett Temple,SG/SF,3900,2018-02-26
Kyle O'Quinn,PF/C,3900,2018-02-26
Delon Wright,PG/SG,3900,2018-02-26
Marquese Chriss,PF/C,3900,2018-02-26
Wayne Selden,PG/SG,3900,2018-02-26
Gerald Green,SG/SF,3800,2018-02-26
Jamal Crawford,SG,3800,2018-02-26
Deyonta Davis,PF/C,3800,2018-02-26
Pascal Siakam,PF,3800,2018-02-26
Chandler Parsons,SF/PF,3700,2018-02-26
Raymond Felton,PG/SG,3700,2018-02-26
Ian Clark,PG/SG,3700,2018-02-26
David West,PF/C,3700,2018-02-26
P.J. Tucker,SF/PF,3700,2018-02-26
Jerami Grant,SF/PF,3700,2018-02-26
Tyus Jones,PG/SG,3700,2018-02-26
Jahlil Okafor,C,3700,2018-02-26
Jakob Poeltl,PF/C,3700,2018-02-26
Daniel Theis,PF/C,3700,2018-02-26
Frank Ntilikina,PG/SG,3700,2018-02-26
Justin Jackson,SG/SF,3700,2018-02-26
Mario Chalmers,PG,3600,2018-02-26
Andre Iguodala,SG/SF,3600,2018-02-26
Kosta Koufos,C,3600,2018-02-26
Mike Muscala,PF/C,3600,2018-02-26
Cristiano Da Silva Felicio,PF/C,3600,2018-02-26
Isaiah Taylor,PG,3600,2018-02-26
Frank Mason III,PG,3600,2018-02-26
Troy Daniels,SG,3500,2018-02-26
Darius Miller,SF/PF,3500,2018-02-26
Aron Baynes,C,3500,2018-02-26
Channing Frye,PF/C,3500,2018-02-26
Jarrett Jack,PG,3500,2018-02-26
Robin Lopez,C,3500,2018-02-26
Omri Casspi,SF/PF,3500,2018-02-26
Zaza Pachulia,C,3500,2018-02-26
Doug McDermott,SF,3500,2018-02-26
Al Jefferson,PF/C,3500,2018-02-26
Luc Mbah a Moute,SF/PF,3500,2018-02-26
Marreese Speights,PF/C,3500,2018-02-26
Cameron Payne,PG/SG,3500,2018-02-26
DeAndre Bembry,SG/SF,3500,2018-02-26
Tyler Ulis,PG,3500,2018-02-26
Luke Kennard,SG/SF,3500,2018-02-26
Khem Birch,PF/C,3500,2018-02-26
Vince Carter,SG/SF,3400,2018-02-26
Terrence Ross,SG/SF,3400,2018-02-26
Ben McLemore,SG/SF,3400,2018-02-26
Miles Plumlee,C,3400,2018-02-26
Jared Dudley,PF,3400,2018-02-26
Gorgui Dieng,PF/C,3400,2018-02-26
