,,date,minutes,minutes,td,td,dd,dd,doubles,doubles,dk_per_min,dk_per_min,dk_per_min,dk_score,dk_score,dk_score,points,points,points,game_score,game_score,game_score,fg_pct,three_pct,two_pct,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,w
,,len,sum,mean,sum,mean,sum,mean,sum,mean,mean,max,std,mean,max,std,mean,max,std,mean,max,std,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
slug,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creekmi01,Mitch Creek,5,47.15,9.43,0,0.0,0,0.0,0,0.0,6.632757435526422,30.0,13.071780978306979,9.7,20.25,8.957189849500791,4.2,8,3.492849839314596,4.4399999999999995,10.8,4.408287649416722,0.3,0.0,0.35,2.4,1.2,1.2,1.2,0.4,0.0,0.2,0.2
dawsoer01,Eric Dawson,4,39.233333333333334,9.808333333333334,0,0.0,0,0.0,0,0.0,1.966292625294319,5.853658536585366,2.592871273067349,8.0,19.5,8.172616879963643,3.75,9,4.5,2.75,5.7,3.248076353782343,0.375,0.0,0.375,2.5,1.25,1.25,0.0,0.25,0.5,0.75,0.75
bhullsi01,Sim Bhullar,3,2.6833333333333336,0.8944444444444445,0,0.0,0,0.0,0,0.0,1.9037940379403793,3.3333333333333335,1.7165272932287798,2.25,3.5,1.9525624189766635,0.6666666666666666,2,1.1547005383792517,0.9,1.4,0.7810249675906654,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
duvaltr01,Trevon Duval,3,5.583333333333333,1.861111111111111,0,0.0,0,0.0,0,0.0,1.7906795290112072,3.9622641509433962,2.008407532803702,3.25,6.25,3.132491021535417,1.6666666666666667,3,1.5275252316519465,1.8,3.0,1.5874507866387546,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
embiijo01,Joel Embiid,177,5464.883333333335,30.875047080979293,2,0.011299435028248588,119,0.672316384180791,296,1.6723163841807909,1.5608447982938023,2.6724655068986203,0.35267723431816217,48.05084745762712,90.75,13.273680034719035,23.875706214689266,46,7.673473173834874,18.22429378531074,47.9,8.138700175676917,0.47661507510292134,0.2856568572670268,0.5236520781628878,11.412429378531073,2.305084745762712,9.107344632768362,3.1638418079096047,0.7231638418079096,1.9661016949152543,3.6497175141242937,0.6045197740112994
bennean01,Anthony Bennett,151,1904.85,12.614900662251655,0,0.0,4,0.026490066225165563,22,0.1456953642384106,1.5555978595519375,120.0,9.713818044515078,9.986754966887418,36.0,8.072318341068975,4.357615894039735,20,4.152660786950823,2.8470198675496694,16.9,4.038742509693167,0.3288748411264967,0.12229580573951436,0.3496879867740795,3.1258278145695364,0.8741721854304636,2.251655629139073,0.5099337748344371,0.3841059602649007,0.17880794701986755,0.6556291390728477,0.31125827814569534
bouchch01,Chris Boucher,31,168.51666666666665,5.436021505376344,0,0.0,1,0.03225806451612903,2,0.06451612903225806,1.4700478004398547,4.598540145985401,1.0011543849744093,7.741935483870968,39.25,7.410714054374174,3.161290322580645,15,3.317597265025281,2.680645161290322,15.1,3.7275925523800404,0.36666666666666664,0.23655913978494622,0.3384024577572965,1.8709677419354838,0.5161290322580645,1.3548387096774193,0.06451612903225806,0.1935483870967742,0.8064516129032258,0.22580645161290322,0.7419354838709677
westbru01,Russell Westbrook,805,28264.833333333332,35.11159420289855,147,0.1826086956521739,395,0.4906832298136646,1328,1.6496894409937888,1.4422815708862196,2.686935086277732,0.36956409990201833,50.672049689440996,99.75,14.925287446835402,24.325465838509317,58,8.995765169399062,19.255031055900616,45.6,8.356646900413377,0.4351290273757293,0.26820092678379687,0.46408942485039417,7.316770186335404,1.6459627329192548,5.670807453416149,8.71055900621118,1.8434782608695652,0.306832298136646,4.149068322981367,0.6347826086956522
