,,date,minutes,minutes,td,td,dd,dd,doubles,doubles,dk_per_min,dk_per_min,dk_per_min,dk_score,dk_score,dk_score,points,points,points,game_score,game_score,game_score,fg_pct,three_pct,two_pct,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,w
,,len,sum,mean,sum,mean,sum,mean,sum,mean,mean,max,std,mean,max,std,mean,max,std,mean,max,std,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
date,len,1.0,0.9585629614413451,0.7200578280144542,0.20875154129280304,0.1624927047635041,0.5384385354166449,0.42031193361249947,0.8399609712147568,0.6735965063188866,0.2476987411888512,0.06055295075362517,-0.16195978694643956,0.701473544096746,0.7496372475972746,0.5704285017743427,0.6794059781949026,0.7456980903128066,0.6148353428031985,0.7073945157954844,0.7722610760457382,0.6503444110734069,0.49127230664459426,0.3054520676911156,0.4933954079218713,0.5574446693034542,0.3903822816299712,0.5943093035298539,0.4872547657836743,0.5555094373895967,0.36203910062577227,0.5698894651449552,0.20113217124557814
minutes,sum,0.9585629614413451,1.0,0.7799405889115514,0.2833337749093935,0.2299444404179679,0.6364457713895475,0.5058133754402152,0.9349436577287268,0.7656765616700584,0.2783080566583618,0.010214273238995552,-0.17261927506541808,0.7868484337818249,0.7543292553648384,0.5756269112964265,0.7744220924113618,0.7637375672825301,0.6430611544774312,0.7966648912928423,0.7802698065551225,0.6798550942607802,0.469498071323711,0.3392161828946772,0.4829432277487242,0.587495807311063,0.3862820580687252,0.6375739774081799,0.5762595639780025,0.6291697558452702,0.3657331750067136,0.6582903867187576,0.18915958345842082
minutes,mean,0.7200578280144542,0.7799405889115514,1.0,0.2034691774257266,0.23312375935375923,0.4981596202921905,0.5224542986793128,0.7357386459110595,0.8724348812458989,0.3012532764358309,-0.03653280655039372,-0.26331789130824,0.9340844910061621,0.8604668519344182,0.7923204390698514,0.9083292440929793,0.851895035263746,0.837520516351994,0.9059603772305406,0.8655235784199469,0.8839085052203469,0.6074039619367398,0.5000191232321971,0.6466890852794741,0.7032922556547906,0.44922626376398805,0.7691308461209002,0.6935440536179295,0.7874565674601609,0.4285260594387198,0.8146103050315437,0.0002265939414670516
td,sum,0.20875154129280304,0.2833337749093935,0.2034691774257266,1.0,0.8511585981489053,0.444075728295748,0.33715869454220504,0.3958312646168553,0.3006947114805058,0.16010648541232722,-0.0080277865976973,-0.02754617020221194,0.3160949214783753,0.24276677984746536,0.18147286665357545,0.2814563867881963,0.22040090281854988,0.1694463038056384,0.31523730216507617,0.22382048157904336,0.18792481023646754,0.09129930902942976,0.07418323072093808,0.10195928614723163,0.19690861727759446,0.1039314023517032,0.2250943234397224,0.3693931489661455,0.2676888321130869,0.07459918668825993,0.34626856099553316,0.07433423985584192
td,mean,0.1624927047635041,0.2299444404179679,0.23312375935375923,0.8511585981489053,1.0,0.3875285147350395,0.3951611669235036,0.3339176163301887,0.3518246400764568,0.1883429414173499,-0.010529798260578977,-0.032903612001281786,0.35872170187033203,0.26941645595288805,0.20800734222969142,0.30432979862075826,0.21828298861229795,0.17877839732096745,0.34774350135563387,0.23408060046913226,0.21179460822739868,0.11237492178577076,0.07033947559899476,0.12454534218678628,0.24396324805353528,0.13674303791774367,0.2753237146202188,0.42865875955368565,0.29695005399574875,0.09271436766585074,0.4001702814443314,0.063122135880995
dd,sum,0.5384385354166449,0.6364457713895475,0.4981596202921905,0.444075728295748,0.3875285147350395,1.0,0.888563638726557,0.8330825440437529,0.7261253762222705,0.3317791209582925,-0.01999145999148071,-0.09419472031610542,0.6661954186059931,0.5398931778443811,0.4262122283490555,0.5767934895471843,0.4743736219539061,0.3855219398977571,0.6663980233185366,0.5135220394969168,0.448986055531375,0.3614385915585109,-0.004644540198442736,0.3438721612124385,0.7083402403518304,0.591050384804888,0.7127728963539327,0.39735950285246746,0.39395559711971057,0.5000766390257108,0.5427792356226737,0.11631970023589192
dd,mean,0.42031193361249947,0.5058133754402152,0.5224542986793128,0.33715869454220504,0.3951611669235036,0.888563638726557,1.0,0.6999898111845573,0.7949009847913584,0.3813619402748486,-0.02514938667295752,-0.09951924584312485,0.7139438188257723,0.5820430410428578,0.5149357333913198,0.6037344406101807,0.48169442680970603,0.42695224108696905,0.7055565919784165,0.5383992261860785,0.5083941712509583,0.41426322119883663,-0.029831527108372242,0.3974484640399256,0.8092483380651518,0.6986006232403869,0.803887332495561,0.39082146582752764,0.390069069755893,0.5863141441826458,0.580810542184657,0.06983799648790351
doubles,sum,0.8399609712147568,0.9349436577287268,0.7357386459110595,0.3958312646168553,0.3339176163301887,0.8330825440437529,0.6999898111845573,1.0,0.8474711878220357,0.34349123415702765,-0.020815478483978557,-0.1546357662063937,0.8287891127146647,0.7299008621409169,0.5668193044679313,0.8099216486789318,0.7321697212381703,0.62237253738802,0.8430914647843185,0.7440102306746045,0.6621992160135067,0.44909065543267845,0.2497181269025315,0.4582509608558849,0.6643785642812436,0.46934638662041883,0.7064944422308861,0.5784758077528017,0.5911937867180531,0.4243426105384496,0.700514320442098,0.1662761912787007
doubles,mean,0.6735965063188866,0.7656765616700584,0.8724348812458989,0.3006947114805058,0.3518246400764568,0.7261253762222705,0.7949009847913584,0.8474711878220357,1.0,0.4099033039748129,-0.043472518614614715,-0.2000916075643505,0.9636816016970529,0.8438358726141674,0.7573307563393894,0.9402828502832935,0.8304481387885829,0.7989885931124009,0.9606056331616805,0.8438149597692963,0.8427014173928017,0.5668495018409992,0.32861256914955866,0.5893072451451862,0.8001980965039253,0.5739894028454697,0.8470422434474641,0.6446918839422923,0.6613339702730504,0.5200550333334628,0.8356766468201183,0.06887978985973087
