,,date,minutes,minutes,td,td,dd,dd,doubles,doubles,dk_per_min,dk_per_min,dk_per_min,dk_score,dk_score,dk_score,points,points,points,game_score,game_score,game_score,fg_pct,three_pct,two_pct,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,w
,,len,sum,mean,sum,mean,sum,mean,sum,mean,mean,max,std,mean,max,std,mean,max,std,mean,max,std,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
date,len,1.0,0.9521069815963196,0.6382393559714502,0.20737295676002526,0.14387734694954077,0.5187846255144419,0.3658954434868695,0.8247118187794548,0.5831693202258355,0.3928348206520124,0.025741089383017942,-0.12837398891196253,0.6072645762019795,0.6772504617648666,0.48614078067994954,0.5820830393755843,0.6583836352507982,0.5183822868827644,0.6182845759452686,0.702505361197493,0.5743722165266861,0.48030892669566894,0.2206011826738946,0.469409250841118,0.44142264665021796,0.29296529724603604,0.4792829512316005,0.3881533404277612,0.4745520495631538,0.26346388004526994,0.4661460789300329,0.3403643311836375
minutes,sum,0.9521069815963196,1.0,0.7699676140855981,0.28564130972780594,0.2188655205086248,0.6227448319549637,0.4675584339554406,0.9291636814214552,0.7188510861690771,0.4721505469041944,-0.024572015297063692,-0.16762477728971306,0.74985112607428,0.7441789923640305,0.5525134688221052,0.7296056369433189,0.7342119214007822,0.6108890510782918,0.7598979136974234,0.7689723654295184,0.6727099876908038,0.49100203136557796,0.2870602375726579,0.5040821065142964,0.5056873356888703,0.3059587485602013,0.5630108581557994,0.5127598982851992,0.5988045773826163,0.2858582736945555,0.6060307072824112,0.3109640259712534
minutes,mean,0.6382393559714502,0.7699676140855981,1.0,0.22486902792707328,0.25215930111640167,0.518079596531396,0.5260211280311414,0.756630452685378,0.8736942748398407,0.514040543915017,-0.10671959235780763,-0.2703081748428628,0.9185454830678332,0.7999281345463936,0.7124298783856938,0.8980881092057614,0.7933005856936692,0.7839386325850963,0.899292383191929,0.819389053240377,0.8637999252076745,0.57528722843621,0.4576118756569086,0.6298102871096136,0.5976804573172121,0.3259995019051162,0.6821871874681316,0.6469694343027225,0.7585105222030504,0.32497536776728425,0.7892692105981873,0.11460160772272188
td,sum,0.20737295676002526,0.28564130972780594,0.22486902792707328,1.0,0.8505649474470247,0.44159744139318613,0.3355598159956694,0.39970889396835496,0.31273907348352664,0.30580419550484167,-0.012765709374478646,-0.02679804053893019,0.34514221043450005,0.2949792356272069,0.22604644881461303,0.2959782497437378,0.24759931825052417,0.1892687976908012,0.33855814493049363,0.2598610138592767,0.2198744169704719,0.10639467693649399,0.06905812475045679,0.12300814187972005,0.19778081741342754,0.09464920442831248,0.23196808329878918,0.3828476593440565,0.2968706613509741,0.06192635788119371,0.3763480637134732,0.1151069332393858
td,mean,0.14387734694954077,0.2188655205086248,0.25215930111640167,0.8505649474470247,1.0,0.3809597243484779,0.39244934563128386,0.3283162685133251,0.3634316554869594,0.35850733437654464,-0.01652515251333921,-0.030863394499113638,0.38721200596253225,0.31862088864534205,0.2532242121089902,0.314029086706556,0.2311667229080142,0.18987908360664255,0.36810204508414984,0.25966238489565224,0.24109457438331158,0.12960386335325064,0.058668696551076205,0.1483999827738578,0.2446503054664678,0.12591579523333798,0.2827822261387776,0.4423660533438304,0.3247339353375828,0.0767095087389275,0.43206217025041876,0.09672168035754587
dd,sum,0.5187846255144419,0.6227448319549637,0.518079596531396,0.44159744139318613,0.3809597243484779,1.0,0.8911611771031797,0.8304900793554019,0.7408757802018386,0.6212632356708786,-0.036071201516684005,-0.09600358910726103,0.6941061955485579,0.6028743960446186,0.48851013042714536,0.573340706564464,0.48187299716255194,0.3881275032737962,0.685283900299854,0.5491529350184267,0.48695478701467676,0.4652252548833364,-0.0794649542970335,0.4276988267269583,0.7350818522154892,0.6024841098569994,0.7442101757860294,0.3654462710354313,0.38444094054579997,0.4937447625740989,0.5448874254638695,0.1786132992806009
dd,mean,0.3658954434868695,0.4675584339554406,0.5260211280311414,0.3355598159956694,0.39244934563128386,0.8911611771031797,1.0,0.685485222715852,0.8050550624338412,0.7101655915864259,-0.04512879074997644,-0.09955005950760408,0.7355453870912283,0.6283697844620424,0.5649699705876334,0.5931561565640321,0.4654219925801125,0.41187906680763164,0.7179558468899536,0.5558262649473593,0.5377261684040939,0.5330412470531135,-0.12241036148949291,0.4925591492100257,0.834712339699829,0.7055073011249643,0.835027871518044,0.35062768357059587,0.35668575320888296,0.5795352081064319,0.5800630171393518,0.0983096755434133
doubles,sum,0.8247118187794548,0.9291636814214552,0.756630452685378,0.39970889396835496,0.3283162685133251,0.8304900793554019,0.685485222715852,1.0,0.840547108358309,0.6247609938805961,-0.049718667793449044,-0.15954193293546132,0.8365171155955642,0.7741933335938916,0.6044455365535257,0.8013417299800424,0.7445144454919912,0.6354687529948556,0.8467315032909879,0.7767860357157554,0.7043142830817005,0.5177218549504429,0.19433280820563428,0.5242271587463383,0.632216945418272,0.42814654577030187,0.6824175721314447,0.5332495360651064,0.5775872332536796,0.3757423274885771,0.6860570605741715,0.26379255865890444
doubles,mean,0.5831693202258355,0.7188510861690771,0.8736942748398407,0.31273907348352664,0.3634316554869594,0.7408757802018386,0.8050550624338412,0.840547108358309,1.0,0.7593292839980825,-0.08976450159108558,-0.2027550266342294,0.9691397018611614,0.8499966250187393,0.7719705380869898,0.9340320655219075,0.8068543332067911,0.7905578383928885,0.9628197471961836,0.8389820368631343,0.8710929306756842,0.6309973955901379,0.25188170693692463,0.6549160951592976,0.7569476775429215,0.5186656015932585,0.814206677102046,0.5891557849992094,0.6200045786953156,0.4534870713012239,0.824254164985379,0.12591216714820144
